variant,binary,version,dataset,run_index,seed,population,islands,generations,mutation_rate,elite_count,reported_length,cuda_elapsed_ms,generations_completed,target_reached,status,notes
gpu_naive,build/GPU-Naive,gpu_naive,data/berlin52.tsp,1,100,NA,NA,NA,NA,NA,8181,NA,NA,NA,ok,
cuda_ga,build/CUDA-GA,cuda_ga,data/berlin52.tsp,1,100,512,NA,2000,0.03,4,7640,NA,NA,NA,ok,
cuda_ga_gpu_pop,build/CUDA-GA-GPU-Pop,GPU-Pop Control,data/berlin52.tsp,1,100,NA,256,2000,0.03,2,8964,351.921,2000,no,ok,
cuda_ga_gpu_pop_bankconflict,build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,data/berlin52.tsp,1,100,NA,256,2000,0.03,2,8964,330.322,2000,no,ok,
cuda_ga_gpu_pop_bitset,build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,data/berlin52.tsp,1,100,NA,256,2000,0.03,2,8964,284.171,2000,no,ok,
cuda_ga_gpu_pop_parallel_sort,build/GA-GPU-POP-ParallelSort,GA-GPU-POP-ParallelSort,data/berlin52.tsp,1,100,NA,256,2000,0.03,2,9025,NA,NA,NA,ok,
cuda_ga_gpu_pop_aos,build/GA-GPU-POP-AoS,GA-GPU-POP-AoS,data/berlin52.tsp,1,100,NA,256,2000,0.03,2,8964,NA,NA,NA,ok,
cuda_ga_gpu_pop_global_dist,build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,data/berlin52.tsp,1,100,NA,256,2000,0.03,2,8964,279.828,2000,no,ok,
cuda_ga_gpu_pop_verbose_comments,build/GA-GPU-POP-VerboseComments,GA-GPU-POP-VerboseComments,data/berlin52.tsp,1,100,NA,256,2000,0.03,2,8964,NA,NA,NA,ok,
cuda_ga_b1_stride,build/CUDA-GA-B1-stride,GPU-Pop B1-stride,data/berlin52.tsp,1,100,NA,256,2000,0.03,2,9142,NA,NA,NA,ok,
cuda_ga_b2_bitmask,build/CUDA-GA-B2-bitmask,GPU-Pop B1+B2,data/berlin52.tsp,1,100,NA,256,2000,0.03,2,9142,NA,NA,NA,ok,
cuda_ga_b3_reduce,build/CUDA-GA-B3-reduce,GPU-Pop B1+B2+B3-reduce,data/berlin52.tsp,1,100,NA,256,2000,0.03,2,9142,NA,NA,NA,ok,
cuda_ga_b3_shuffle,build/CUDA-GA-B3-shuffle,GPU-Pop B1+B2+B3-shuffle,data/berlin52.tsp,1,100,NA,256,2000,0.03,2,9142,NA,NA,NA,ok,
cuda_ga_b4_global,build/CUDA-GA-B4-global,GPU-Pop B1+B2+B3-shuffle+B4-global,data/berlin52.tsp,1,100,NA,256,2000,0.03,2,9142,NA,NA,NA,ok,
cuda_ga_b5_bigpop,build/CUDA-GA-B5-bigpop,GPU-Pop B5-bigpop,data/berlin52.tsp,1,100,NA,256,2000,0.03,2,7542,NA,NA,NA,ok,
cuda_ga_b4_smem,build/CUDA-GA-B4-smem,GPU-Pop B1+B2+B3-shuffle+B4-smem,data/berlin52.tsp,1,100,NA,256,2000,0.03,2,9142,NA,NA,NA,ok,
gpu_naive,build/GPU-Naive,gpu_naive,data/berlin52.tsp,2,101,NA,NA,NA,NA,NA,8181,NA,NA,NA,ok,
cuda_ga,build/CUDA-GA,cuda_ga,data/berlin52.tsp,2,101,512,NA,2000,0.03,4,7717,NA,NA,NA,ok,
cuda_ga_gpu_pop,build/CUDA-GA-GPU-Pop,GPU-Pop Control,data/berlin52.tsp,2,101,NA,256,2000,0.03,2,9262,331.091,2000,no,ok,
cuda_ga_gpu_pop_bankconflict,build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,data/berlin52.tsp,2,101,NA,256,2000,0.03,2,9262,330.801,2000,no,ok,
cuda_ga_gpu_pop_bitset,build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,data/berlin52.tsp,2,101,NA,256,2000,0.03,2,9262,285.172,2000,no,ok,
cuda_ga_gpu_pop_parallel_sort,build/GA-GPU-POP-ParallelSort,GA-GPU-POP-ParallelSort,data/berlin52.tsp,2,101,NA,256,2000,0.03,2,8940,NA,NA,NA,ok,
cuda_ga_gpu_pop_aos,build/GA-GPU-POP-AoS,GA-GPU-POP-AoS,data/berlin52.tsp,2,101,NA,256,2000,0.03,2,9262,NA,NA,NA,ok,
cuda_ga_gpu_pop_global_dist,build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,data/berlin52.tsp,2,101,NA,256,2000,0.03,2,9262,279.87,2000,no,ok,
cuda_ga_gpu_pop_verbose_comments,build/GA-GPU-POP-VerboseComments,GA-GPU-POP-VerboseComments,data/berlin52.tsp,2,101,NA,256,2000,0.03,2,9262,NA,NA,NA,ok,
cuda_ga_b1_stride,build/CUDA-GA-B1-stride,GPU-Pop B1-stride,data/berlin52.tsp,2,101,NA,256,2000,0.03,2,9264,NA,NA,NA,ok,
cuda_ga_b2_bitmask,build/CUDA-GA-B2-bitmask,GPU-Pop B1+B2,data/berlin52.tsp,2,101,NA,256,2000,0.03,2,9264,NA,NA,NA,ok,
cuda_ga_b3_reduce,build/CUDA-GA-B3-reduce,GPU-Pop B1+B2+B3-reduce,data/berlin52.tsp,2,101,NA,256,2000,0.03,2,9264,NA,NA,NA,ok,
cuda_ga_b3_shuffle,build/CUDA-GA-B3-shuffle,GPU-Pop B1+B2+B3-shuffle,data/berlin52.tsp,2,101,NA,256,2000,0.03,2,9264,NA,NA,NA,ok,
cuda_ga_b4_global,build/CUDA-GA-B4-global,GPU-Pop B1+B2+B3-shuffle+B4-global,data/berlin52.tsp,2,101,NA,256,2000,0.03,2,9264,NA,NA,NA,ok,
cuda_ga_b5_bigpop,build/CUDA-GA-B5-bigpop,GPU-Pop B5-bigpop,data/berlin52.tsp,2,101,NA,256,2000,0.03,2,7542,NA,NA,NA,ok,
cuda_ga_b4_smem,build/CUDA-GA-B4-smem,GPU-Pop B1+B2+B3-shuffle+B4-smem,data/berlin52.tsp,2,101,NA,256,2000,0.03,2,9264,NA,NA,NA,ok,
gpu_naive,build/GPU-Naive,gpu_naive,data/berlin52.tsp,3,102,NA,NA,NA,NA,NA,8181,NA,NA,NA,ok,
cuda_ga,build/CUDA-GA,cuda_ga,data/berlin52.tsp,3,102,512,NA,2000,0.03,4,8076,NA,NA,NA,ok,
cuda_ga_gpu_pop,build/CUDA-GA-GPU-Pop,GPU-Pop Control,data/berlin52.tsp,3,102,NA,256,2000,0.03,2,9307,334.421,2000,no,ok,
cuda_ga_gpu_pop_bankconflict,build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,data/berlin52.tsp,3,102,NA,256,2000,0.03,2,9307,328.089,2000,no,ok,
cuda_ga_gpu_pop_bitset,build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,data/berlin52.tsp,3,102,NA,256,2000,0.03,2,9307,284.397,2000,no,ok,
cuda_ga_gpu_pop_parallel_sort,build/GA-GPU-POP-ParallelSort,GA-GPU-POP-ParallelSort,data/berlin52.tsp,3,102,NA,256,2000,0.03,2,9019,NA,NA,NA,ok,
cuda_ga_gpu_pop_aos,build/GA-GPU-POP-AoS,GA-GPU-POP-AoS,data/berlin52.tsp,3,102,NA,256,2000,0.03,2,9307,NA,NA,NA,ok,
cuda_ga_gpu_pop_global_dist,build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,data/berlin52.tsp,3,102,NA,256,2000,0.03,2,9307,279.831,2000,no,ok,
cuda_ga_gpu_pop_verbose_comments,build/GA-GPU-POP-VerboseComments,GA-GPU-POP-VerboseComments,data/berlin52.tsp,3,102,NA,256,2000,0.03,2,9307,NA,NA,NA,ok,
cuda_ga_b1_stride,build/CUDA-GA-B1-stride,GPU-Pop B1-stride,data/berlin52.tsp,3,102,NA,256,2000,0.03,2,9203,NA,NA,NA,ok,
cuda_ga_b2_bitmask,build/CUDA-GA-B2-bitmask,GPU-Pop B1+B2,data/berlin52.tsp,3,102,NA,256,2000,0.03,2,9203,NA,NA,NA,ok,
cuda_ga_b3_reduce,build/CUDA-GA-B3-reduce,GPU-Pop B1+B2+B3-reduce,data/berlin52.tsp,3,102,NA,256,2000,0.03,2,9203,NA,NA,NA,ok,
cuda_ga_b3_shuffle,build/CUDA-GA-B3-shuffle,GPU-Pop B1+B2+B3-shuffle,data/berlin52.tsp,3,102,NA,256,2000,0.03,2,9203,NA,NA,NA,ok,
cuda_ga_b4_global,build/CUDA-GA-B4-global,GPU-Pop B1+B2+B3-shuffle+B4-global,data/berlin52.tsp,3,102,NA,256,2000,0.03,2,9203,NA,NA,NA,ok,
cuda_ga_b5_bigpop,build/CUDA-GA-B5-bigpop,GPU-Pop B5-bigpop,data/berlin52.tsp,3,102,NA,256,2000,0.03,2,7542,NA,NA,NA,ok,
cuda_ga_b4_smem,build/CUDA-GA-B4-smem,GPU-Pop B1+B2+B3-shuffle+B4-smem,data/berlin52.tsp,3,102,NA,256,2000,0.03,2,9203,NA,NA,NA,ok,
gpu_naive,build/GPU-Naive,gpu_naive,data/berlin52.tsp,4,103,NA,NA,NA,NA,NA,8181,NA,NA,NA,ok,
cuda_ga,build/CUDA-GA,cuda_ga,data/berlin52.tsp,4,103,512,NA,2000,0.03,4,7640,NA,NA,NA,ok,
cuda_ga_gpu_pop,build/CUDA-GA-GPU-Pop,GPU-Pop Control,data/berlin52.tsp,4,103,NA,256,2000,0.03,2,9056,332.699,2000,no,ok,
cuda_ga_gpu_pop_bankconflict,build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,data/berlin52.tsp,4,103,NA,256,2000,0.03,2,9056,329.731,2000,no,ok,
cuda_ga_gpu_pop_bitset,build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,data/berlin52.tsp,4,103,NA,256,2000,0.03,2,9056,284.406,2000,no,ok,
cuda_ga_gpu_pop_parallel_sort,build/GA-GPU-POP-ParallelSort,GA-GPU-POP-ParallelSort,data/berlin52.tsp,4,103,NA,256,2000,0.03,2,9056,NA,NA,NA,ok,
cuda_ga_gpu_pop_aos,build/GA-GPU-POP-AoS,GA-GPU-POP-AoS,data/berlin52.tsp,4,103,NA,256,2000,0.03,2,9056,NA,NA,NA,ok,
cuda_ga_gpu_pop_global_dist,build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,data/berlin52.tsp,4,103,NA,256,2000,0.03,2,9056,279.35,2000,no,ok,
cuda_ga_gpu_pop_verbose_comments,build/GA-GPU-POP-VerboseComments,GA-GPU-POP-VerboseComments,data/berlin52.tsp,4,103,NA,256,2000,0.03,2,9056,NA,NA,NA,ok,
cuda_ga_b1_stride,build/CUDA-GA-B1-stride,GPU-Pop B1-stride,data/berlin52.tsp,4,103,NA,256,2000,0.03,2,9438,NA,NA,NA,ok,
cuda_ga_b2_bitmask,build/CUDA-GA-B2-bitmask,GPU-Pop B1+B2,data/berlin52.tsp,4,103,NA,256,2000,0.03,2,9438,NA,NA,NA,ok,
cuda_ga_b3_reduce,build/CUDA-GA-B3-reduce,GPU-Pop B1+B2+B3-reduce,data/berlin52.tsp,4,103,NA,256,2000,0.03,2,9438,NA,NA,NA,ok,
cuda_ga_b3_shuffle,build/CUDA-GA-B3-shuffle,GPU-Pop B1+B2+B3-shuffle,data/berlin52.tsp,4,103,NA,256,2000,0.03,2,9438,NA,NA,NA,ok,
cuda_ga_b4_global,build/CUDA-GA-B4-global,GPU-Pop B1+B2+B3-shuffle+B4-global,data/berlin52.tsp,4,103,NA,256,2000,0.03,2,9438,NA,NA,NA,ok,
cuda_ga_b5_bigpop,build/CUDA-GA-B5-bigpop,GPU-Pop B5-bigpop,data/berlin52.tsp,4,103,NA,256,2000,0.03,2,7542,NA,NA,NA,ok,
cuda_ga_b4_smem,build/CUDA-GA-B4-smem,GPU-Pop B1+B2+B3-shuffle+B4-smem,data/berlin52.tsp,4,103,NA,256,2000,0.03,2,9438,NA,NA,NA,ok,
gpu_naive,build/GPU-Naive,gpu_naive,data/berlin52.tsp,5,104,NA,NA,NA,NA,NA,8181,NA,NA,NA,ok,
cuda_ga,build/CUDA-GA,cuda_ga,data/berlin52.tsp,5,104,512,NA,2000,0.03,4,8076,NA,NA,NA,ok,
cuda_ga_gpu_pop,build/CUDA-GA-GPU-Pop,GPU-Pop Control,data/berlin52.tsp,5,104,NA,256,2000,0.03,2,9269,330.932,2000,no,ok,
cuda_ga_gpu_pop_bankconflict,build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,data/berlin52.tsp,5,104,NA,256,2000,0.03,2,9269,331.621,2000,no,ok,
cuda_ga_gpu_pop_bitset,build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,data/berlin52.tsp,5,104,NA,256,2000,0.03,2,9269,283.872,2000,no,ok,
cuda_ga_gpu_pop_parallel_sort,build/GA-GPU-POP-ParallelSort,GA-GPU-POP-ParallelSort,data/berlin52.tsp,5,104,NA,256,2000,0.03,2,9169,NA,NA,NA,ok,
cuda_ga_gpu_pop_aos,build/GA-GPU-POP-AoS,GA-GPU-POP-AoS,data/berlin52.tsp,5,104,NA,256,2000,0.03,2,9269,NA,NA,NA,ok,
cuda_ga_gpu_pop_global_dist,build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,data/berlin52.tsp,5,104,NA,256,2000,0.03,2,9269,279.797,2000,no,ok,
cuda_ga_gpu_pop_verbose_comments,build/GA-GPU-POP-VerboseComments,GA-GPU-POP-VerboseComments,data/berlin52.tsp,5,104,NA,256,2000,0.03,2,9269,NA,NA,NA,ok,
cuda_ga_b1_stride,build/CUDA-GA-B1-stride,GPU-Pop B1-stride,data/berlin52.tsp,5,104,NA,256,2000,0.03,2,9261,NA,NA,NA,ok,
cuda_ga_b2_bitmask,build/CUDA-GA-B2-bitmask,GPU-Pop B1+B2,data/berlin52.tsp,5,104,NA,256,2000,0.03,2,9261,NA,NA,NA,ok,
cuda_ga_b3_reduce,build/CUDA-GA-B3-reduce,GPU-Pop B1+B2+B3-reduce,data/berlin52.tsp,5,104,NA,256,2000,0.03,2,9261,NA,NA,NA,ok,
cuda_ga_b3_shuffle,build/CUDA-GA-B3-shuffle,GPU-Pop B1+B2+B3-shuffle,data/berlin52.tsp,5,104,NA,256,2000,0.03,2,9261,NA,NA,NA,ok,
cuda_ga_b4_global,build/CUDA-GA-B4-global,GPU-Pop B1+B2+B3-shuffle+B4-global,data/berlin52.tsp,5,104,NA,256,2000,0.03,2,9261,NA,NA,NA,ok,
cuda_ga_b5_bigpop,build/CUDA-GA-B5-bigpop,GPU-Pop B5-bigpop,data/berlin52.tsp,5,104,NA,256,2000,0.03,2,7542,NA,NA,NA,ok,
cuda_ga_b4_smem,build/CUDA-GA-B4-smem,GPU-Pop B1+B2+B3-shuffle+B4-smem,data/berlin52.tsp,5,104,NA,256,2000,0.03,2,9261,NA,NA,NA,ok,
gpu_naive,build/GPU-Naive,gpu_naive,data/berlin52.tsp,6,105,NA,NA,NA,NA,NA,8181,NA,NA,NA,ok,
cuda_ga,build/CUDA-GA,cuda_ga,data/berlin52.tsp,6,105,512,NA,2000,0.03,4,7640,NA,NA,NA,ok,
cuda_ga_gpu_pop,build/CUDA-GA-GPU-Pop,GPU-Pop Control,data/berlin52.tsp,6,105,NA,256,2000,0.03,2,9130,335.727,2000,no,ok,
cuda_ga_gpu_pop_bankconflict,build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,data/berlin52.tsp,6,105,NA,256,2000,0.03,2,9130,331.209,2000,no,ok,
cuda_ga_gpu_pop_bitset,build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,data/berlin52.tsp,6,105,NA,256,2000,0.03,2,9130,283.914,2000,no,ok,
cuda_ga_gpu_pop_parallel_sort,build/GA-GPU-POP-ParallelSort,GA-GPU-POP-ParallelSort,data/berlin52.tsp,6,105,NA,256,2000,0.03,2,9057,NA,NA,NA,ok,
cuda_ga_gpu_pop_aos,build/GA-GPU-POP-AoS,GA-GPU-POP-AoS,data/berlin52.tsp,6,105,NA,256,2000,0.03,2,9130,NA,NA,NA,ok,
cuda_ga_gpu_pop_global_dist,build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,data/berlin52.tsp,6,105,NA,256,2000,0.03,2,9130,280.16,2000,no,ok,
cuda_ga_gpu_pop_verbose_comments,build/GA-GPU-POP-VerboseComments,GA-GPU-POP-VerboseComments,data/berlin52.tsp,6,105,NA,256,2000,0.03,2,9130,NA,NA,NA,ok,
cuda_ga_b1_stride,build/CUDA-GA-B1-stride,GPU-Pop B1-stride,data/berlin52.tsp,6,105,NA,256,2000,0.03,2,9299,NA,NA,NA,ok,
cuda_ga_b2_bitmask,build/CUDA-GA-B2-bitmask,GPU-Pop B1+B2,data/berlin52.tsp,6,105,NA,256,2000,0.03,2,9299,NA,NA,NA,ok,
cuda_ga_b3_reduce,build/CUDA-GA-B3-reduce,GPU-Pop B1+B2+B3-reduce,data/berlin52.tsp,6,105,NA,256,2000,0.03,2,9299,NA,NA,NA,ok,
cuda_ga_b3_shuffle,build/CUDA-GA-B3-shuffle,GPU-Pop B1+B2+B3-shuffle,data/berlin52.tsp,6,105,NA,256,2000,0.03,2,9299,NA,NA,NA,ok,
cuda_ga_b4_global,build/CUDA-GA-B4-global,GPU-Pop B1+B2+B3-shuffle+B4-global,data/berlin52.tsp,6,105,NA,256,2000,0.03,2,9299,NA,NA,NA,ok,
cuda_ga_b5_bigpop,build/CUDA-GA-B5-bigpop,GPU-Pop B5-bigpop,data/berlin52.tsp,6,105,NA,256,2000,0.03,2,7542,NA,NA,NA,ok,
cuda_ga_b4_smem,build/CUDA-GA-B4-smem,GPU-Pop B1+B2+B3-shuffle+B4-smem,data/berlin52.tsp,6,105,NA,256,2000,0.03,2,9299,NA,NA,NA,ok,
gpu_naive,build/GPU-Naive,gpu_naive,data/berlin52.tsp,7,106,NA,NA,NA,NA,NA,8181,NA,NA,NA,ok,
cuda_ga,build/CUDA-GA,cuda_ga,data/berlin52.tsp,7,106,512,NA,2000,0.03,4,7640,NA,NA,NA,ok,
cuda_ga_gpu_pop,build/CUDA-GA-GPU-Pop,GPU-Pop Control,data/berlin52.tsp,7,106,NA,256,2000,0.03,2,9161,333.55,2000,no,ok,
cuda_ga_gpu_pop_bankconflict,build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,data/berlin52.tsp,7,106,NA,256,2000,0.03,2,9161,330.066,2000,no,ok,
cuda_ga_gpu_pop_bitset,build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,data/berlin52.tsp,7,106,NA,256,2000,0.03,2,9161,284.394,2000,no,ok,
cuda_ga_gpu_pop_parallel_sort,build/GA-GPU-POP-ParallelSort,GA-GPU-POP-ParallelSort,data/berlin52.tsp,7,106,NA,256,2000,0.03,2,8836,NA,NA,NA,ok,
cuda_ga_gpu_pop_aos,build/GA-GPU-POP-AoS,GA-GPU-POP-AoS,data/berlin52.tsp,7,106,NA,256,2000,0.03,2,9161,NA,NA,NA,ok,
cuda_ga_gpu_pop_global_dist,build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,data/berlin52.tsp,7,106,NA,256,2000,0.03,2,9161,279.225,2000,no,ok,
cuda_ga_gpu_pop_verbose_comments,build/GA-GPU-POP-VerboseComments,GA-GPU-POP-VerboseComments,data/berlin52.tsp,7,106,NA,256,2000,0.03,2,9161,NA,NA,NA,ok,
cuda_ga_b1_stride,build/CUDA-GA-B1-stride,GPU-Pop B1-stride,data/berlin52.tsp,7,106,NA,256,2000,0.03,2,9392,NA,NA,NA,ok,
